state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,references_agree_on_action,severity_raw_strict,severity_strict
10,0,10,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9994495717889267,-2.2975127696990967,0.70193680208983,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
11,0,11,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999281237427351,-2.1336140632629395,0.8656671741644115,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
12,0,12,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972998426165707,-2.036358594894409,0.9609412477221615,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
13,0,13,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9973118848628886,-1.9859163761138916,1.011395508748997,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
14,0,14,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997342769142538,-1.7787212133407593,1.2186215558017786,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
15,0,15,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997372074421507,-1.877469539642334,1.1199025347791731,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
16,0,16,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9973175303735915,-1.3673443794250488,1.6299731509485427,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
17,0,17,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9945524265195655,-1.2299065589904785,1.764645867529087,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
18,0,18,False,0,-50.0,0,2,1,,-2.530405824354909,0.06765515107120237,-47.46959417564509,0,0.0,0.0,0,-2.9369512043647434,-1.2370057106018066,1.6999454937629368,0,0,0,0,-50.0,1,,-47.46959417564509,0,0.0,0,0,1,0.0,0.0
19,0,19,False,0,-50.0,0,1,1,,-1.3151049058015742,0.0677288746432982,-48.684895094198424,0,0.0,0.0,0,-1.6022247840329251,-1.5019901990890503,0.10023458494387483,0,0,0,0,-50.0,1,,-48.684895094198424,0,0.0,0,0,1,0.0,0.0
20,0,20,False,0,-50.0,0,2,1,,-1.2658266272020606,0.005552073962368176,-48.73417337279794,0,0.0,0.0,0,-1.5914931640794638,-1.5694695711135864,0.022023592965877414,0,0,0,0,-50.0,1,,-48.73417337279794,0,0.0,0,0,1,0.0,0.0
21,0,21,False,0,-50.0,0,1,1,,-1.2942132200685352,0.007321922424296658,-48.705786779931465,0,0.0,0.0,0,-1.6127358916268382,-1.661329984664917,0.04859409303807882,0,0,0,0,-50.0,1,,-48.705786779931465,0,0.0,0,0,1,0.0,0.0
22,0,22,False,0,-50.0,0,2,1,,-1.3666132364783643,0.05300408527347513,-48.633386763521635,0,0.0,0.0,0,-1.7275176648790904,-1.7452421188354492,0.0177244539563588,0,0,0,0,-50.0,1,,-48.633386763521635,0,0.0,0,0,1,0.0,0.0
23,0,23,False,0,-50.0,0,1,1,,-2.5731708193939666,0.02071422626066969,-47.426829180606035,0,0.0,0.0,0,-2.116717358686661,-1.8870494365692139,0.22966792211744735,0,0,0,0,-50.0,1,,-47.426829180606035,0,0.0,0,0,1,0.0,0.0
24,0,24,False,0,-50.0,0,2,1,,-2.5731708193939666,0.02071422626066969,-47.426829180606035,0,0.0,0.0,0,-2.1272153491239405,-1.66904878616333,0.4581665629606104,0,0,0,0,-50.0,1,,-47.426829180606035,0,0.0,0,0,1,0.0,0.0
25,0,25,False,0,-50.0,0,2,1,,-2.5731708193939666,0.02071422626066969,-47.426829180606035,0,0.0,0.0,0,-2.158959428074532,-1.7983129024505615,0.3606465256239706,0,0,0,0,-50.0,1,,-47.426829180606035,0,0.0,0,0,1,0.0,0.0
26,0,26,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.947884621083829,-2.222769021987915,0.7251155990959139,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
27,0,27,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9817828797424557,-2.3397653102874756,0.6420175694549801,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
28,0,28,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.981985249102091,-2.2035629749298096,0.7784222741722813,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
29,0,29,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.98218043372216,-2.456254243850708,0.525926189871452,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
30,1,0,True,1,-2.9999989435144254,3,3,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000090015486665,-3.130660057067871,0.13065105551920464,1,1,1,3,-4.255455946689682,0,0.7745966692414834,-1.657394971263571,0,0.0,0,0,1,0.0,0.0
31,1,1,True,2,-2.9999989435144254,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000091827760147,-3.0883820056915283,0.08837282291551363,3,3,3,1,-3.0328265213820993,1,0.7378647873726218,-0.4347655459559885,0,0.0,0,0,0,0.0,0.0
32,1,2,True,2,-2.999998943514425,1,1,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.40193796808831417,0,0.0,0.0,0,-3.0000089748515593,-3.0689897537231445,0.06898077887158527,24,24,24,1,-3.0010017993406817,0,0.9486832980505139,-0.40294082391457087,0,0.0,0,0,1,0.0,0.0
33,1,3,True,4,-0.9205399078954664,1,1,0,0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.6775210675306444,0,0.0,0.0,0,-2.937481770367163,-2.881727695465088,0.05575407490207507,1784,1784,1784,1,-1.0808465537972096,0,0.316227766016838,1.5172144216289012,0,0.0,0,0,1,0.0,0.0
34,1,4,True,2,-0.844441249078721,1,3,1,0.7378647873726218,-2.598060975426111,2.037621039635e-16,1.7536197263473898,1,1.7536197263473898,0.5795125108845322,1,-2.99040017318862,-2.756469488143921,0.23393068504469916,68,115,68,1,-1.0152173268458013,1,0.7378647873726218,1.5828436485803095,1,1.5828436485803095,1,1,1,1.5828436485803095,0.5267613978874545
35,1,5,True,4,-0.8691580833214572,2,3,1,-0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.7289028921046536,1,1.7289028921046536,0.5713444260609429,1,-2.9920950571853195,-2.753676652908325,0.23841840427699434,168,365,168,2,-1.0372373374606614,1,-0.316227766016838,1.5608236379654494,1,1.5608236379654494,1,1,1,1.5608236379654494,0.5194332631197635
36,1,6,True,4,-0.8929603865134261,2,3,1,-0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.7051005889126847,1,1.7051005889126847,0.5634785630802933,1,-2.9927945811818493,-2.7452800273895264,0.2475145537923229,427,592,427,2,-1.0589423110026652,1,-0.316227766016838,1.5391186644234456,1,1.5391186644234456,1,1,1,1.5391186644234456,0.5122099709049253
37,1,7,True,3,-0.9097882559242538,1,1,0,1.0,-2.598060975426111,2.037621039635e-16,1.688272719501857,0,0.0,0.0,0,-2.9932571266511565,-2.8034915924072266,0.18976553424392995,2039,2039,2039,1,-1.0777605991285863,0,1.0,1.5203003762975245,0,0.0,0,0,1,0.0,0.0
38,1,8,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999924386454354,-2.79360032081604,0.20632406563831385,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
39,1,9,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999866088983755,-2.6059393882751465,0.39392670070860847,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
40,1,10,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999577255034962,-2.4229416847229004,0.5766355703120616,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
41,1,11,True,2,-0.9082178213660944,1,1,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.6898431540600165,0,0.0,0.0,0,-2.994787836993102,-2.2260630130767822,0.7687248239163198,9,9,9,1,-3.627217982595484,0,0.9486832980505139,-1.0291570071693732,0,0.0,0,0,1,0.0,0.0
42,1,12,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997179035756359,-2.184748411178589,0.8124306245777699,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
43,1,13,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972754585158796,-2.1195123195648193,0.8777631389510603,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
44,1,14,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9974419594404274,-1.7011489868164062,1.296292972624021,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
45,1,15,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997532067335084,-1.7603281736373901,1.2372038936976937,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
46,1,16,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9977368397756803,-1.4616559743881226,1.5360808653875577,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
47,1,17,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9977628985686717,-1.3670756816864014,1.6306872168822704,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
48,1,18,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9977872359583055,-1.5362272262573242,1.4615600097009813,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
49,1,19,False,0,-50.0,0,1,1,,-1.2341442242583347,0.0060364826299532616,-48.76585577574166,0,0.0,0.0,0,-1.536307489559846,-1.3812589645385742,0.15504852502127187,0,0,0,0,-50.0,1,,-48.76585577574166,0,0.0,0,0,1,0.0,0.0
50,1,20,False,0,-50.0,0,2,1,,-1.2483272757533708,0.005316621403303422,-48.75167272424663,0,0.0,0.0,0,-1.556684715525908,-1.3922202587127686,0.16446445681313948,0,0,0,0,-50.0,1,,-48.75167272424663,0,0.0,0,0,1,0.0,0.0
51,1,21,False,0,-50.0,0,2,1,,-1.2666695703954445,0.005985033368912256,-48.73333042960456,0,0.0,0.0,0,-1.5882362682543376,-1.6988446712493896,0.11060840299505204,0,0,0,0,-50.0,1,,-48.73333042960456,0,0.0,0,0,1,0.0,0.0
52,1,22,False,0,-50.0,0,2,1,,-2.008256204691881,0.11166371152519415,-47.99174379530812,0,0.0,0.0,0,-1.852401915961498,-1.841813087463379,0.01058882849811904,0,0,0,0,-50.0,1,,-47.99174379530812,0,0.0,0,0,1,0.0,0.0
53,1,23,False,0,-50.0,0,2,1,,-2.5731708193939666,0.02071422626066969,-47.426829180606035,0,0.0,0.0,0,-2.106161619704718,-1.8678994178771973,0.23826220182752067,0,0,0,0,-50.0,1,,-47.426829180606035,0,0.0,0,0,1,0.0,0.0
54,1,24,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.982997074985227,-2.2583529949188232,0.7246440800664038,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
55,1,25,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9838632948027657,-2.1632206439971924,0.8206426508055733,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
56,1,26,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9833446602039846,-2.1164052486419678,0.8669394115620168,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
57,1,27,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9833549110458324,-2.1548562049865723,0.8284987060592601,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
58,1,28,False,0,-50.0,0,1,1,,-2.531283345377908,0.06677763004820342,-47.46871665462209,0,0.0,0.0,0,-2.6552664560729036,-3.2076666355133057,0.5524001794404021,0,0,0,0,-50.0,1,,-47.46871665462209,0,0.0,0,0,1,0.0,0.0
59,1,29,False,0,-50.0,0,1,1,,-1.4460974543799359,0.11106995971145935,-48.55390254562006,0,0.0,0.0,0,-2.027427301483758,-3.3994269371032715,1.3719996356195137,0,0,0,0,-50.0,1,,-48.55390254562006,0,0.0,0,0,1,0.0,0.0
60,2,0,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-3.000008477066501,-3.145261526107788,0.14525304904128689,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
61,2,1,True,1,-2.9999989435144254,3,3,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000092180969493,-3.090958833694458,0.09094961559750869,15,15,15,3,-3.0010010872519226,0,0.7745966692414834,-0.4029401118258118,0,0.0,0,0,1,0.0,0.0
62,2,2,True,3,-2.999998943514425,0,0,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.40193796808831417,0,0.0,0.0,0,-3.000009226500773,-3.0438239574432373,0.04381473094246413,24,24,24,1,-3.0001526221821084,1,0.19999999999999998,-0.4020916467559976,0,0.0,0,0,0,0.0,0.0
63,2,3,True,4,-0.8974787864567646,1,1,0,0.19999999999999998,-2.537211532119141,0.060849443306970445,1.6397327456623763,0,0.0,0.0,0,-2.9343281603760976,-2.8856201171875,0.04870804318859756,717,717,717,1,-1.0593138701855407,0,0.316227766016838,1.4778976619336002,0,0.0,0,0,1,0.0,0.0
64,2,4,True,2,-0.8209024885996296,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.7771584868264814,0,0.0,0.0,0,-2.9857756957865407,-2.74794864654541,0.23782704924113052,354,354,354,3,-0.9929483429590857,0,0.9486832980505139,1.605112632467025,0,0.0,0,0,1,0.0,0.0
65,2,5,True,3,-0.7950151191147465,1,1,0,1.0,-2.598060975426111,2.037621039635e-16,1.8030458563113643,0,0.0,0.0,0,-2.989546177776133,-2.7269413471221924,0.2626048306539408,935,935,935,1,-0.9698346722125121,0,1.0,1.6282263032135988,0,0.0,0,0,1,0.0,0.0
66,2,6,True,2,-0.8181587662548174,2,2,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.7799022091712935,0,0.0,0.0,0,-2.989666606871475,-2.7255213260650635,0.26414528080641153,398,398,398,2,-0.991764624443541,0,0.9486832980505139,1.6062963509825698,0,0.0,0,0,1,0.0,0.0
67,2,7,True,4,-0.8873069133936018,3,3,0,0.316227766016838,-2.598060975426111,2.037621039635e-16,1.710754062032509,0,0.0,0.0,0,-2.9933061400194734,-2.785172939300537,0.20813320071893626,187,187,187,3,-1.0572783262619767,0,0.316227766016838,1.540782649164134,0,0.0,0,0,1,0.0,0.0
68,2,8,True,4,-0.8634519768650171,3,3,0,0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.7346089985610937,0,0.0,0.0,0,-2.9930333332015393,-2.63729190826416,0.35574142493737915,212,212,212,3,-1.0355102094278745,0,0.316227766016838,1.5625507659982363,0,0.0,0,0,1,0.0,0.0
69,2,9,True,3,-0.8393775733285986,1,1,0,0.39999999999999997,-2.598060975426111,2.037621039635e-16,1.7586834020975122,0,0.0,0.0,0,-2.992370099475787,-2.631530523300171,0.360839576175616,960,960,960,1,-1.013469631980574,0,0.39999999999999997,1.5845913434455368,0,0.0,0,0,1,0.0,0.0
70,2,10,True,3,-0.9107050771468062,3,3,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.6873558982793047,0,0.0,0.0,0,-2.994187468849553,-2.4216790199279785,0.5725084489215746,47,47,47,3,-1.1476579395368571,0,0.9486832980505139,1.4504030358892537,0,0.0,0,0,1,0.0,0.0
71,2,11,True,3,-0.8870887091279259,1,2,1,0.19999999999999998,-2.598060975426111,2.037621039635e-16,1.7109722662981848,1,1.7109722662981848,0.5654189555460319,1,-2.994117157276494,-2.424781084060669,0.5693360732158252,10,42,10,1,-1.1274303440090039,1,0.39999999999999997,1.470630631417107,1,1.470630631417107,1,1,1,1.470630631417107,0.48941754157222445
72,2,12,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972130056741277,-2.2947568893432617,0.702456116330866,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
73,2,13,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972524651041077,-2.037571907043457,0.9596805580606507,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
74,2,14,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997373369980088,-2.029111862182617,0.9682615077974708,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
75,2,15,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997564918818657,-1.5622740983963013,1.4352908204223556,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
76,2,16,False,0,-50.0,0,0,0,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997657390017807,-1.6669119596481323,1.3307454303696749,0,0,0,0,-50.0,0,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
77,2,17,True,3,-1.1772247486647787,1,1,0,0.7999999999999999,-1.1690826738471372,0.00624244408863132,-0.00814207481764151,0,0.0,0.0,0,-1.429506664488465,-1.3412060737609863,0.08830059072747876,180,180,180,1,-1.209840045672321,0,0.7999999999999999,-0.04075737182518391,0,0.0,0,0,1,0.0,0.0
78,2,18,True,1,-1.1966547306424469,2,2,0,0.7745966692414834,-1.187445753715855,0.005318306285092383,-0.00920897692659195,0,0.0,0.0,0,-1.449328683976875,-1.2063881158828735,0.24294056809400155,16,16,16,2,-2.4991173296416918,0,0.7745966692414834,-1.3116715759258368,0,0.0,0,0,1,0.0,0.0
79,2,19,False,0,-50.0,0,2,1,,-1.2074066527702034,0.004661868199452576,-48.7925933472298,0,0.0,0.0,0,-1.4878776274301833,-1.472656011581421,0.01522161584876236,0,0,0,0,-50.0,1,,-48.7925933472298,0,0.0,0,0,1,0.0,0.0
80,2,20,False,0,-50.0,0,1,1,,-1.7215019179603992,0.08109483368224056,-48.278498082039604,0,0.0,0.0,0,-1.6458164013566432,-1.6402919292449951,0.005524472111648082,0,0,0,0,-50.0,1,,-48.278498082039604,0,0.0,0,0,1,0.0,0.0
81,2,21,False,0,-50.0,0,2,1,,-1.7215019179603992,0.08109483368224056,-48.278498082039604,0,0.0,0.0,0,-1.64706610761307,-1.681290626525879,0.03422451891280898,0,0,0,0,-50.0,1,,-48.278498082039604,0,0.0,0,0,1,0.0,0.0
82,2,22,False,0,-50.0,0,2,1,,-2.2365164765777346,0.09059827025619042,-47.763483523422266,0,0.0,0.0,0,-1.9153762810341621,-1.9024481773376465,0.012928103696515647,0,0,0,0,-50.0,1,,-47.763483523422266,0,0.0,0,0,1,0.0,0.0
83,2,23,False,0,-50.0,0,2,1,,-2.535193000545443,0.03070582079003792,-47.46480699945456,0,0.0,0.0,0,-2.0604620978539003,-1.9250627756118774,0.1353993222420229,0,0,0,0,-50.0,1,,-47.46480699945456,0,0.0,0,0,1,0.0,0.0
84,2,24,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9827692563160197,-2.041511058807373,0.9412581975086467,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
85,2,25,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.984162226206181,-2.055187463760376,0.9289747624458049,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
86,2,26,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9842327636823103,-2.1187167167663574,0.8655160469159529,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
87,2,27,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.6716230409121264,-3.0458202362060547,0.37419719529392825,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
88,2,28,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.6736151315232504,-2.7602362632751465,0.08662113175189612,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
89,2,29,False,0,-50.0,0,1,1,,-1.3659088973800497,0.09440470870275262,-48.63409110261995,0,0.0,0.0,0,-1.5435098849953373,-3.4930107593536377,1.9495008743583004,0,0,0,0,-50.0,1,,-48.63409110261995,0,0.0,0,0,1,0.0,0.0
90,3,0,True,2,-2.99999894351441,1,3,1,0.7378647873726218,-2.598060975426111,2.037621039635e-16,-0.40193796808829907,0,0.0,0.0,0,-3.0000043471288564,-3.061389207839966,0.06138486071110938,1,2,1,1,-3.000355728138423,1,0.7378647873726218,-0.4022947527123124,0,0.0,0,0,1,0.0,0.0
91,3,1,True,1,-2.9999989435144254,0,0,0,0.7745966692414834,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000083287887747,-2.982675313949585,0.017333014839189698,2,2,2,0,-3.0009737401664576,0,0.7745966692414834,-0.40291276474034676,0,0.0,0,0,1,0.0,0.0
92,3,2,True,2,-2.9999989435144254,0,0,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,-0.4019379680883146,0,0.0,0.0,0,-3.0000093543684447,-3.1884191036224365,0.1884097492539918,8,8,8,2,-3.0001084174002437,1,0.7378647873726218,-0.4020474419741329,0,0.0,0,0,0,0.0,0.0
